Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
04-01-2021,1414.6055680614406,1414.6055680614406,1386.3134567002119,1391.02880859375,20906300,0.0,0.0
05-01-2021,1391.0287060380792,1400.459409129863,1376.882651400404,1386.3133544921875,34835700,0.0,0.0
06-01-2021,1386.3132397460938,1424.0360489908855,1372.1671862792969,1414.6053466796875,71557400,0.0,0.0
07-01-2021,1428.751583214962,1447.6129902541036,1400.45947265625,1400.45947265625,42590000,0.0,0.0
08-01-2021,1414.605488346572,1414.605488346572,1400.4594334631063,1409.89013671875,26719000,0.0,0.0
11-01-2021,1409.8901876969771,1730.534109982577,1409.8901876969771,1659.8038330078125,563868500,0.0,0.0
12-01-2021,1697.5265938895088,1848.4178466796875,1579.642802647182,1584.358154296875,730883800,0.0,0.0
13-01-2021,1603.2196532423125,1617.3657090062152,1475.9051513671875,1475.9051513671875,318606200,0.0,0.0
14-01-2021,1475.9050342715273,1546.6353074794279,1414.6054641580133,1504.1971435546875,272061900,0.0,0.0
15-01-2021,1532.489301223523,1584.358169880319,1527.7739495274507,1551.3507080078125,215382800,0.0,0.0
18-01-2021,1560.7813525831843,1622.0809223221008,1527.7738919545368,1565.4967041015625,215422400,0.0,0.0
19-01-2021,1574.9275865043376,1584.3582906151419,1494.7666015625,1494.7666015625,83675200,0.0,0.0
20-01-2021,1556.0660308262088,1556.0660308262088,1480.6204050891804,1499.4818115234375,60163400,0.0,0.0
21-01-2021,1508.912504720544,1603.219536265578,1504.197153143292,1560.7813720703125,161395300,0.0,0.0
22-01-2021,1570.2121105843655,1584.358165634675,1504.197187016254,1523.05859375,102447800,0.0,0.0
25-01-2021,1523.0585104683848,1527.7738618939836,1447.6128876588054,1513.6278076171875,70622700,0.0,0.0
26-01-2021,1513.627922576608,1527.7739779277913,1447.6129976044194,1457.043701171875,79451300,0.0,0.0
27-01-2021,1457.0437177443348,1471.1897732564157,1395.7441438586507,1424.0362548828125,73126300,0.0,0.0
28-01-2021,1414.6055315980816,1475.9051046339985,1400.459476282101,1428.7515869140625,80221200,0.0,0.0
29-01-2021,1438.1822418108734,1461.7589998733467,1372.167319235948,1381.5980224609375,79625700,0.0,0.0
01-02-2021,1367.4519911388422,1428.751563155411,1339.159880977349,1405.1748046875,71988500,0.0,0.0
02-02-2021,1424.0360942639802,1471.189607319079,1405.1746890419408,1433.466796875,73428200,0.0,0.0
03-02-2021,1438.1822361090244,1485.3357520470252,1438.1822361090244,1471.189697265625,58843900,0.0,0.0
04-02-2021,1490.0511636579693,1499.4818672254248,1442.8976458206919,1457.043701171875,41055300,0.0,0.0
05-02-2021,1480.6204050891804,1504.1971631320018,1452.3282954377948,1499.4818115234375,45768600,0.0,0.0
08-02-2021,1504.1971186741143,1513.62782161251,1466.4743069205315,1480.620361328125,30326700,0.0,0.0
09-02-2021,1499.4817151521381,1499.4817151521381,1414.6053916529604,1433.466796875,48636900,0.0,0.0
10-02-2021,1433.4668993340165,1447.6129542616547,1419.3208444063782,1438.1822509765625,25973600,0.0,0.0
11-02-2021,1442.8976026191087,1447.6129542616547,1419.3208444063782,1438.1822509765625,27319000,0.0,0.0
15-02-2021,1447.6129542616547,1457.043657546747,1433.4668993340165,1438.1822509765625,21673000,0.0,0.0
16-02-2021,1452.3283059042008,1452.3283059042008,1428.7515476914703,1438.1822509765625,15732600,0.0,0.0
17-02-2021,1438.1822904580497,1442.8976422300434,1414.6055315980816,1428.7515869140625,32963400,0.0,0.0
18-02-2021,1438.1822665425755,1438.1822665425755,1405.1748046875,1405.1748046875,34834700,0.0,0.0
19-02-2021,1428.751672786869,1518.343361839511,1428.751672786869,1494.7666015625,152425200,0.0,0.0
22-02-2021,1504.1971186741143,1513.62782161251,1471.1896583897294,1480.620361328125,66610200,0.0,0.0
23-02-2021,1475.9050043279474,1480.6203557794743,1447.6128956187854,1452.3282470703125,34042400,0.0,0.0
24-02-2021,1452.3283861736918,1461.7590899800146,1414.6055709484012,1419.3209228515625,72954800,0.0,0.0
